"Region","Count","IDs"
"STRING",1,"GO:0036094"
"PANTHER",6,"GO:0022890, GO:0008324, GO:0015318, GO:0016675, GO:0015075, GO:0005215"
"clusterProfiler",14,"GO:0140313, GO:0046933, GO:0003746, GO:0005200, GO:0005506, GO:0015252, GO:0031625, GO:0005550, GO:0044389, GO:0099186, GO:0140104, GO:0098918, GO:0001530, GO:0042277"
"STRING_PANTHER",6,"GO:0016491, GO:0005198, GO:0004129, GO:0005549, GO:0022857, GO:0098973"
"STRING_clusterProfiler",0,""
"PANTHER_clusterProfiler",6,"GO:0022853, GO:0015399, GO:0003954, GO:0016655, GO:0016651, GO:0022804"
"STRING_PANTEHR_clusterProfiler",5,"GO:0015453, GO:0009055, GO:0008137, GO:0003735, GO:0015078"
