"Region","Count","IDs"
"STRING",6,"GO:1901566, GO:0044271, GO:0006518, GO:1901576, GO:0044249, GO:0034645"
"PANTHER",16,"GO:0006091, GO:0015988, GO:0098662, GO:0098655, GO:0098660, GO:0034220, GO:0006812, GO:0009117, GO:0006811, GO:0072521, GO:0007005, GO:0006753, GO:0065007, GO:0050789, GO:0050794, GO:0055086"
"clusterProfiler",27,"GO:0097250, GO:0140241, GO:0140242, GO:0045833, GO:0062014, GO:0036293, GO:1905953, GO:0006111, GO:0044406, GO:0006414, GO:0055093, GO:0045912, GO:0006979, GO:0045834, GO:0000028, GO:0044794, GO:0019730, GO:0061179, GO:0035634, GO:0036296, GO:0019731, GO:0050709, GO:0031649, GO:0045475, GO:0006094, GO:0019319, GO:0019915"
"STRING_PANTHER",3,"GO:0015990, GO:0006412, GO:0090407"
"STRING_clusterProfiler",0,""
"PANTHER_clusterProfiler",31,"GO:0045333, GO:0022904, GO:0022900, GO:0015980, GO:0015986, GO:0006754, GO:0009206, GO:0009145, GO:0009201, GO:0009142, GO:0009152, GO:0009260, GO:0046390, GO:0046034, GO:0006164, GO:0010257, GO:0009205, GO:0009199, GO:0009144, GO:0009165, GO:0009141, GO:0072522, GO:0006163, GO:1901293, GO:0009150, GO:0033108, GO:0009259, GO:0019693, GO:0070482, GO:0001666, GO:0062013"
"STRING_PANTEHR_clusterProfiler",12,"GO:0009060, GO:0042773, GO:0006119, GO:0019646, GO:0042775, GO:0042776, GO:0006120, GO:1902600, GO:0032981, GO:0002181, GO:0051055, GO:0045721"
