"Region","Count","IDs"
"STRING",0,""
"PANTHER",0,""
"clusterProfiler",184,"GO:0001731, GO:0016479, GO:0010572, GO:0048680, GO:2001046, GO:0021932, GO:0051764, GO:0070572, GO:0072378, GO:0086014, GO:0086026, GO:0086066, GO:0086013, GO:0051220, GO:0060816, GO:0060712, GO:0072376, GO:0086011, GO:2001044, GO:0021535, GO:0090042, GO:2001224, GO:0035855, GO:0086019, GO:0060009, GO:0099623, GO:0150105, GO:0009048, GO:0007549, GO:0071514, GO:0060706, GO:0099622, GO:0007212, GO:0048679, GO:0060306, GO:0060008, GO:1901381, GO:0044319, GO:0090505, GO:0086065, GO:0090504, GO:1900026, GO:0070570, GO:0045022, GO:0086002, GO:0002183, GO:0006356, GO:0006476, GO:0043045, GO:0043268, GO:0010543, GO:0098927, GO:1903351, GO:0042789, GO:0086009, GO:1903350, GO:0071868, GO:0071870, GO:0030219, GO:0042307, GO:0071526, GO:0009299, GO:0035601, GO:0071869, GO:0071867, GO:1900024, GO:0001974, GO:0031103, GO:0086001, GO:0098732, GO:2001222, GO:0002011, GO:0032233, GO:0061337, GO:0006360, GO:0031102, GO:0086003, GO:0098900, GO:0034394, GO:0090307, GO:0046824, GO:0042306, GO:0043113, GO:1903036, GO:2000179, GO:1901379, GO:0007193, GO:0048678, GO:0045185, GO:0034446, GO:0070252, GO:1900182, GO:0007229, GO:0030168, GO:0061515, GO:0043266, GO:0090316, GO:0032231, GO:0001892, GO:0042177, GO:0006413, GO:0030048, GO:0007052, GO:0051225, GO:0051209, GO:0060048, GO:0051283, GO:2000177, GO:0046822, GO:0051282, GO:0051208, GO:0021987, GO:0010811, GO:1902414, GO:0043433, GO:0032388, GO:0010977, GO:1904064, GO:1902850, GO:1900180, GO:0002181, GO:0001837, GO:0031507, GO:0033157, GO:1903034, GO:0051017, GO:0022618, GO:0034767, GO:0061572, GO:0006941, GO:0006606, GO:0043123, GO:0001508, GO:0008584, GO:0046546, GO:0071826, GO:0000070, GO:0007596, GO:0051170, GO:1902905, GO:0007599, GO:0050817, GO:0097553, GO:0001890, GO:0051495, GO:0030902, GO:0007051, GO:0008016, GO:0021543, GO:0071805, GO:0001764, GO:0031345, GO:0046661, GO:0045814, GO:0050821, GO:0048771, GO:0000819, GO:0061351, GO:0045216, GO:0010810, GO:0031099, GO:0051651, GO:0010976, GO:0060047, GO:0006813, GO:0043270, GO:0034764, GO:0003015, GO:0043122, GO:0048762, GO:0002064, GO:0007188, GO:1903522, GO:0140014, GO:0016197, GO:0110053, GO:0007249, GO:0008406, GO:0032386, GO:0045137, GO:0003007, GO:0051222, GO:0072659, GO:0040029"
"STRING_PANTHER",0,""
"STRING_clusterProfiler",0,""
"PANTHER_clusterProfiler",0,""
"STRING_PANTEHR_clusterProfiler",0,""
