"Region","Count","IDs"
"STRING",0,""
"PANTHER",0,""
"clusterProfiler",28,"GO:0141052, GO:0032452, GO:0140457, GO:0032451, GO:0016706, GO:0038024, GO:0051213, GO:0016705, GO:0005041, GO:0008035, GO:0051864, GO:0030228, GO:0034185, GO:0140993, GO:0030247, GO:0071813, GO:0071814, GO:0050681, GO:0140693, GO:0019894, GO:0003743, GO:0003724, GO:0001540, GO:0008186, GO:0000049, GO:0008135, GO:0048306, GO:0090079"
"STRING_PANTHER",0,""
"STRING_clusterProfiler",0,""
"PANTHER_clusterProfiler",0,""
"STRING_PANTEHR_clusterProfiler",0,""
