"Region","Count","IDs"
"STRING",1,"GO:0036094"
"PANTHER",5,"GO:0022890, GO:0008324, GO:0016675, GO:0015318, GO:0015075"
"clusterProfiler",9,"GO:0046933, GO:0003746, GO:0020037, GO:0046906, GO:0048156, GO:0016209, GO:0015252, GO:0016500, GO:0005550"
"STRING_PANTHER",6,"GO:0016491, GO:0004129, GO:0005549, GO:0005215, GO:0005198, GO:0022857"
"STRING_clusterProfiler",0,""
"PANTHER_clusterProfiler",6,"GO:0022853, GO:0015399, GO:0003954, GO:0016655, GO:0016651, GO:0022804"
"STRING_PANTEHR_clusterProfiler",5,"GO:0015453, GO:0009055, GO:0008137, GO:0003735, GO:0015078"
